,epsilon,distance_epsilon,mu,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
181,0.26940000000000003,0.01940000000000003,0.73,0.37000000000000005,8.825255870819092,0.25,0.35999999999999993,100,100,1,1,200
182,0.1328,0.002799999999999997,0.97,0.77,15.2252938747406,0.13,0.19999999999999998,100,100,8,1,200
183,0.07010000000000001,0.020100000000000007,0.14,0.05999999999999997,16.575069427490234,0.05,0.19999999999999998,100,100,8,1,200
184,0.271,0.019000000000000017,0.67,0.16999999999999982,13.770657539367676,0.29000000000000004,0.8399999999999999,100,100,1,1,200
185,0.0129,0.0029,0.64,0.44000000000000006,19.160040378570557,0.01,0.19999999999999998,100,100,16,1,200
186,0.40850000000000003,0.0015000000000000013,0.44,0.23999999999999994,13.391759157180786,0.41000000000000003,0.6799999999999999,100,100,1,1,200
187,0.0035,0.006500000000000001,0.76,0.08000000000000007,12.060815572738647,0.01,0.6799999999999999,100,100,1,1,200
188,0.029,0.019000000000000003,0.37,0.09000000000000002,16.71504855155945,0.01,0.27999999999999997,100,100,4,1,200
189,0.1296,0.00040000000000001146,0.61,0.06999999999999995,14.024057626724243,0.13,0.6799999999999999,100,100,4,1,200
190,0.022500000000000003,0.012500000000000002,0.3,0.26,8.05853533744812,0.01,0.04,100,100,1,1,200
191,0.0318,0.0218,1.0,0.6400000000000001,16.196272373199463,0.01,0.35999999999999993,100,100,16,1,200
192,0.25170000000000003,0.041700000000000015,0.88,0.4400000000000001,17.85667085647583,0.21000000000000002,0.4399999999999999,100,100,16,1,200
193,0.3466,0.056599999999999984,0.19,0.2499999999999999,16.768857955932617,0.29000000000000004,0.4399999999999999,100,100,16,1,200
194,0.151,0.019000000000000017,0.44,0.3199999999999999,10.774793148040771,0.17,0.7599999999999999,100,100,1,1,200
195,0.0341,0.015900000000000004,0.25,0.1899999999999999,13.073607683181763,0.05,0.4399999999999999,100,100,1,1,200
196,0.10790000000000001,0.017900000000000013,0.45,0.0699999999999999,13.5600004196167,0.09,0.5199999999999999,100,100,4,1,200
197,0.055200000000000006,0.03479999999999999,0.71,0.43,14.114867687225342,0.09,0.27999999999999997,100,100,16,1,200
198,0.43960000000000005,0.029600000000000015,0.56,0.12000000000000016,15.222988367080688,0.41000000000000003,0.4399999999999999,100,100,16,1,200
199,0.3272,0.0028000000000000247,0.41000000000000003,0.02999999999999986,8.105573415756226,0.33,0.4399999999999999,100,100,1,1,200
200,0.2555,0.08549999999999999,1.0,0.4,14.163815259933472,0.17,0.6,100,100,16,1,200
201,0.4036,0.006400000000000017,0.47000000000000003,0.12999999999999995,8.026406049728394,0.41000000000000003,0.6,100,100,1,1,200
202,0.308,0.01799999999999996,0.45,0.25,13.092357158660889,0.29000000000000004,0.19999999999999998,100,100,8,1,200
203,0.34900000000000003,0.020999999999999963,0.39,0.19000000000000003,10.744025230407715,0.37,0.19999999999999998,100,100,16,1,200
204,0.3689,0.041100000000000025,0.44,0.23999999999999994,17.352091789245605,0.41000000000000003,0.6799999999999999,100,100,8,1,200
205,0.47450000000000003,0.024500000000000022,0.35000000000000003,0.24999999999999994,12.75964069366455,0.45,0.6,100,100,4,1,200
206,0.16590000000000002,0.0040999999999999925,0.25,0.5099999999999999,7.812690258026123,0.17,0.7599999999999999,100,100,1,1,200
