,epsilon,distance_epsilon,mu,distance_mu,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
170,0.23720000000000002,0.052800000000000014,0.25,0.1899999999999999,10.0,5,38.76126265525818,0.29000000000000004,0.4399999999999999,100,100,8,1,200
171,0.4112,0.1612,0.72,0.20000000000000007,10.0,5,34.42361521720886,0.25,0.5199999999999999,100,100,8,1,200
172,0.0269,0.06309999999999999,0.68,0.3200000000000001,10.0,20,33.977717876434326,0.09,0.35999999999999993,100,100,1,1,200
173,0.23220000000000002,0.062200000000000005,0.58,0.5399999999999999,1.0,40,40.25581645965576,0.17,0.04,100,100,16,1,200
174,0.124,0.074,0.59,0.47,10.0,40,42.48055911064148,0.05,0.12,100,100,4,1,200
175,0.4716,0.06159999999999999,0.29,0.06999999999999995,10.0,10,38.99821758270264,0.41000000000000003,0.35999999999999993,100,100,8,1,200
176,0.0327,0.0573,0.9,0.30000000000000004,1.0,40,39.82424354553223,0.09,0.6,100,100,1,1,200
177,0.44370000000000004,0.07370000000000004,0.55,0.030000000000000138,1.0,5,37.695167541503906,0.37,0.5199999999999999,100,100,8,1,200
178,0.2272,0.022799999999999987,0.8200000000000001,0.09999999999999987,0.1,40,38.6794650554657,0.25,0.9199999999999999,100,100,4,1,200
179,0.3926,0.02260000000000001,0.46,0.4599999999999999,0.1,10,37.051923751831055,0.37,0.9199999999999999,100,100,4,1,200
180,0.2157,0.04569999999999999,0.74,0.06000000000000005,10.0,5,40.02699613571167,0.17,0.6799999999999999,100,100,16,1,200
181,0.2286,0.021400000000000002,0.48,0.12000000000000005,10.0,10,30.450440406799316,0.25,0.35999999999999993,100,100,1,1,200
182,0.2713,0.14129999999999998,0.51,0.31000000000000005,10.0,5,40.50437903404236,0.13,0.19999999999999998,100,100,8,1,200
183,0.1131,0.0631,0.38,0.18000000000000002,10.0,40,44.056527853012085,0.05,0.19999999999999998,100,100,8,1,200
184,0.26830000000000004,0.021699999999999997,0.78,0.05999999999999983,1.0,5,37.470113039016724,0.29000000000000004,0.8399999999999999,100,100,1,1,200
185,0.033800000000000004,0.0238,0.14,0.05999999999999997,10.0,40,35.06933903694153,0.01,0.19999999999999998,100,100,16,1,200
186,0.4273,0.017299999999999982,0.09,0.59,1.0,40,35.94172978401184,0.41000000000000003,0.6799999999999999,100,100,1,1,200
