N,T,edge_per_t,evidences_per_t,optimizer_name,num_epochs,lr,model_name,minibatch_size,epsilon_estimated,time,real_epsilon,mu,rho,distance_epsilon,X0_r2,early_stopping,max_epochs
100,64,16,8,adam,801,0.001,BC_with_evidence,0,0.15724562833529507,67.42133593559265,0.0797605053747168,0.2816593051486279,16,0.07748512296057827,-0.4906238317489624,801,801
100,64,16,8,adam,801,0.001,BC_with_evidence,16,0.16930535832224747,66.86427617073059,0.0797605053747168,0.2816593051486279,16,0.08954485294753067,-0.9873416423797607,801,801
100,64,16,8,adam,801,0.001,BC_with_evidence,32,0.1681904089791366,60.37009358406067,0.0797605053747168,0.2816593051486279,16,0.0884299036044198,-1.0571889877319336,801,801
100,64,16,8,adam,801,0.001,BC_observed_positive,0,0.15133428714868966,5.42264986038208,0.0797605053747168,0.2816593051486279,16,0.07157378177397286,,801,801
100,64,16,8,adam,801,0.001,BC_observed_positive,16,0.15131424216924202,5.494859457015991,0.0797605053747168,0.2816593051486279,16,0.07155373679452523,,801,801
100,64,16,8,adam,801,0.001,BC_observed_positive,32,0.15133677699018844,5.5708839893341064,0.0797605053747168,0.2816593051486279,16,0.07157627161547164,,801,801
100,64,16,8,adam,801,0.005,simple_BC,0,0.08625203104161926,0.32579541206359863,0.0797605053747168,0.2816593051486279,16,0.006491525666902462,,801,801
100,64,16,8,adam,801,0.005,simple_BC,16,0.08897473245220323,0.36490535736083984,0.0797605053747168,0.2816593051486279,16,0.00921422707748644,,801,801
100,64,16,8,adam,801,0.005,simple_BC,32,0.08710717538799236,0.3599381446838379,0.0797605053747168,0.2816593051486279,16,0.007346670013275561,,801,801
100,64,16,8,adam,801,0.005,BC_with_evidence,0,0.05873780207238448,54.304484128952026,0.0797605053747168,0.2816593051486279,16,0.021022703302332316,-0.4436272382736206,801,801
100,64,16,8,adam,801,0.005,BC_with_evidence,16,0.11107350121398854,55.58948254585266,0.0797605053747168,0.2816593051486279,16,0.031312995839271746,-0.8614630699157715,801,801
100,64,16,8,adam,801,0.005,BC_with_evidence,32,0.10256400087206834,56.61560559272766,0.0797605053747168,0.2816593051486279,16,0.022803495497351542,-0.7085329294204712,801,801
